,Unnamed: 0,ad_id,origin,condition,car_model,mileage,exterior_color,interior_color,num_of_doors,seating_capacity,engine,engine_capacity,transmission,drive_type,fuel_consumption,describe,brand,grade,year_of_manufacture,car_name,price,url,price_in_billion
3155,3155,4612621,Imported,Used car,Pickup,70,Red,Black,4,5,Diesel,3.2,Automatic,4WD - Four-wheel drive (4WD),11.4,"July is over, I'm back with a new set of cars. Ace interested inb Ford Ranger Wildtrak 2014, 3.2 AT, 2 axles, full option version. - Vehicle equipped with: + 3.2L I5 TDCI Turbo Diesel engine + 6-speed AT transmission + 2 active electric axles + Android screen connection: GPS/ USB/Bluetooth/ipod, 6 speakers+ 8-way electric seats+ Premium leather interior+ Auto air conditioning+ Cruise control...- Safety:+ ABS/EBD/ESP/HAC/DAC brakes...+ 6 airbags+ Camera- Commitment: + Do not crash + Do not flood + Do not disassemble each screw. The car has no minor problems. Dear customers, please contact: âœ“ Hotline: 0913145168 Auto Luong Son âœ“ Address: National Highway 1A, Tan Son 2 Village, Thanh Hai Commune, Phan Rang Thap Cham City, Ninh Thuan Province âœ“ Auto Son Luong Thank you very much.",Ford,Ranger,2014.0,Ford Ranger Wildtrak 3.2L 4x4 AT 2014,519 Million,https://bonbanh.com/xe-ford-ranger-wildtrak-3.2l-4x4-at-2014-4612621,0.519
3156,3156,4612634,Domestic assembly,Used car,Pickup,70,Black,Black,4,5,Diesel,2.5,Manual,4WD - Four-wheel drive (4WD),13.4,"AUTO Son Luong - Introducing Ford Ranger - Manufactured: 2003- Current condition of the car + Smooth operation, quiet engine...+ Injectors+ Solid chassis+ Good engine, quiet engine + Cool air conditioning+ 2 Bridge Suitable for those who go to mountain passes and difficult terrain. If you are interested, contact the information below.â€” âœ“ Hotline: âœ“ Address: National Highway 1A, Tan Son 2 Village, Thanh Hai Commune, Phan Rang Thap City Cham, Ninh Thuan Province âœ“ Auto Son Luong Thank you very much",Ford,Ranger,2003.0,Ford Ranger XLT 4x4 MT 2003,135 Million,https://bonbanh.com/xe-ford-ranger-xlt-4x4-mt-2003-4612634,0.135
3355,3355,4623343,Imported,Used car,Sedan,90,Black,Cream,4,4,Petrol,6.0,Automatic,AWD - 4-wheel drive (AWD),12.4,"Selling a super product Maybach S680 with a super smooth V12 engine, the car looks like it has only traveled 90 km, the packaging is still intact, everything is like 99.9% new, contact us now to see the car,",Mercedes-Benz,S680,2022.0,Mercedes Benz Maybach S680 4Matic 2022,15 Billion 999 Million,https://bonbanh.com/xe-mercedes_benz-maybach-s680-4matic-2022-4623343,15.999
3614,3614,4642020,Domestic assembly,Used car,Sedan,19,Grey,Brown,4,5,Petrol,1.5,Automatic,RFD - Rear-wheel drive,4.4," C200 Avangatde model 2022 First registration: October 2022 Color Grey / brown interior Run: 19 kilometers Latest improvement: with completely new interface, extremely large 11.9 inch screen, extremely new, dynamic steering wheel Powerful 1.5 EQ engine... Full genuine warranty until October 2025 Please contact directly for the best advice",Mercedes-Benz,C200,2022.0,Mercedes Benz C class C200 Avantgarde 2022,1 Billion 615 Million,https://bonbanh.com/xe-mercedes_benz-c_class-c200-avantgarde-2022-4642020,1.615
3616,3616,4642106,Domestic assembly,Used car,SUV,17,Black,Brown,5,5,Petrol,2.0,Automatic,AWD - 4-wheel drive (AWD),9.4," GLC300AMG V1Sx version: 2022 Registration: October 2022 Color Black / black interior Options: super wide sunroof, 1-touch open and close key, 360 camera, high-end speaker, beveled bottom sports steering wheel, trunk kick, foot pedals Chrome plated gas.... Genuine warranty until: October 2025 Please contact directly for further advice",Mercedes-Benz,GLC300,2022.0,Mercedes Benz GLC 300 4Matic 2022,2 Billion 499 Million,https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-2022-4642106,2.499
3617,3617,4642119,Domestic assembly,Used car,SUV,19,Black,Black,5,5,Petrol,2.0,Automatic,AWD - 4-wheel drive (AWD),9.4,"GLC300AMG improved V1 version Production: 2022Registration: October 2022Running: 19 kilometersColor Black / black interiorOptions: super wide sunroof, 1-touch opening and closing key, 360 camera, high-end speaker, beveled bottom sports steering wheel, Boot kick, chrome-plated accelerator pedal... Genuine warranty until: October 2025 Please contact directly for the clearest advice",Mercedes-Benz,GLC300,2022.0,Mercedes Benz GLC 300 4Matic 2022,2 Billion 499 Million,https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-2022-4642119,2.499
3620,3620,4642200,Domestic assembly,Used car,SUV,17,Green,Black,5,5,Petrol,2.0,Automatic,AWD - 4-wheel drive (AWD),9.4," GLC300AMG Production: 2022Registration: October 2022Running: 19 kilometersColor Grey / black interiorOptions: super wide sunroof, 1-touch opening and closing key, camera360, high-end speaker, boot, 1-touch touch screen, dynamic 2.0 engine is powerful but very fuel efficient. Genuine warranty until: October 2025. Please contact directly for further advice.",Mercedes-Benz,GLC300,2022.0,Mercedes Benz GLC 300 4Matic 2022,2 Billion 499 Million,https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-2022-4642200,2.499
3623,3623,4642243,Domestic assembly,Used car,Sedan,10,Black,Brown,4,5,Petrol,1.5,Automatic,RFD - Rear-wheel drive,8.7,"HHDC Luxury Car offers for sale 100% new Mercedes Benz E180, unregistered 2022. The car is equipped with many high-end options such as: Closed doors, electric trunk, 64-color interior LED, new cheese steering wheel, luxurious brown interior, electric trunk, New system screen in Vietnamese,...HHDC offers a 1 year product quality warranty equivalent to 10,000km including the following criteria: - car has not been in an accident - car has not been submerged in water - original engine and gearbox - Transparent legal documents. Bank support 50-70% of car value for a maximum period of 6-7 years.",Mercedes-Benz,E180,2022.0,Mercedes Benz E class E180 2022,1 Billion 888 Million,https://bonbanh.com/xe-mercedes_benz-e_class-e180-2022-4642243,1.888
3948,3948,4663673,Imported,Used car,Sedan,19,Black,Black,4,5,Petrol,3.0,Automatic,RFD - Rear-wheel drive,3.7,"Mercedes S450Luxury model 2022 Sx: 2022 Color Black / black interior Company name issuing VAT invoice Full genuine warranty until: 2025 - Completely new improved version allnew: 12.3 inch screen with Vietnamese interface, wireless carplay , 15 bummeter speakers, high quality nappa leather, super nice 20 inch wheels, blind spot warning on the mirror... Please contact directly",Mercedes-Benz,S450,2022.0,Mercedes Benz S class S450 Luxury 2022,5 Billion 650 Million,https://bonbanh.com/xe-mercedes_benz-s_class-s450-luxury-2022-4663673,5.65
4029,4029,4667253,Imported,Used car,Convertible/Cabriolet,66,Red,Cream,2,4,Petrol,2.0,Automatic,RFD - Rear-wheel drive,5.0,"BMW series 3 model 2010 convertible, full options â€”- High-end cars, so the engine is different from low-end cars, fuel efficient, opening and closing the roof with the car's remote control... how many of you bring it to the dealership to check before Buy., guarantee that the car will not have an accident or water damage to avoid wasting time for both parties.",BMW,3_Series,2010.0,BMW 3 Series 320i Convertible 2010,729 Million,https://bonbanh.com/xe-bmw-3_series-320i-convertible-2010-4667253,0.729
4149,4149,4672650,Domestic assembly,Used car,SUV,50,Grey,Black,5,5,Petrol,2.0,Automatic,AWD - 4-wheel drive (AWD),9.4," - Liquidation of GLC300 AMG surfer car like new. - Car Manufactured 2022, only rolled 50 KM - Latest model 2022 with AMG interior, flat bottom steering wheel and boot kick feature. - Genuine Car, customers can rest assured 100% quality. - Full invoices for tax deduction. - Genuine Surfing Cars have a 3-year warranty with unlimited Km. - Savings compared to a new car of the same model, unregistered, 200 million.- Contact us for service.",Mercedes-Benz,GLC300,2022.0,Mercedes Benz GLC 300 4Matic 2022,2 Billion 490 Million,https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-2022-4672650,2.49
4166,4166,4673745,Domestic assembly,Used car,SUV,6,Black,Cream,5,5,Petrol,2.0,Automatic,AWD - 4-wheel drive (AWD),10.5,"Mercedes benz GLC300 4matic for sale, manufactured in 2017, registered in 2017, personal name, black color, cream interior, full-time 2-wheel drive car, smart LED lights, automatic wipers, integrated steering wheel gear lever, electric seats, electric trunk, automatic folding mirrors , distance sensor, reverse cam, panoramic panoramic sunroof... If you are interested, please contact us to know more about the car!",Mercedes-Benz,GLC300,2017.0,Mercedes Benz GLC 300 4Matic 2017,1 Billion 350 Million,https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-2017-4673745,1.35
4257,4257,4677800,Imported,Used car,Sedan,1,Black,Black,4,5,Petrol,2.5,Automatic,FWD - Front-wheel drive,6.7,"Offering for sale Camry 2.5Q 2019 new form, imported complete unit, black color, personal name of owner with Hanoi license plate. Accessories: glass stickers, floor covering, leather seats, DVD screen, map, electronic balance, Remember the seats,... The car has been inspected for 176 items by Toyota. Commitment: No accidents, crashes, flooding, no fines. Special support for maximum installment payments, good interest rates from Toyota Vietnam Bank. Many Gifts, floor discounts, contact directlyContact hotline 24/7Thank you",Toyota,Camry,2019.0,Toyota Camry 2.5Q 2019,1 Billion 80 Million,https://bonbanh.com/xe-toyota-camry-2.5q-2019-4677800,1.08
4338,4338,4680842,Domestic assembly,Used car,SUV,50,Grey,Black,5,5,Petrol,2.0,Automatic,AWD - 4-wheel drive (AWD),9.4," Unique 01 car with economical diplomatic price of 200 million. Color Grey - Black Interior Beautiful SG license plate Genuine warranty until 2025 If you like this color, please contact me immediately:",Mercedes-Benz,GLC300,2022.0,Mercedes Benz GLC 300 4Matic 2022,2 Billion 349 Million,https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-2022-4680842,2.349
4370,4370,4682639,Domestic assembly,Used car,SUV,16,Grey,Black,5,5,Petrol,2.0,Automatic,AWD - 4-wheel drive (AWD),9.4," MercedesGLC 200 4Matic sx2022, New wheels, very beautiful Grey color. Buying a car at genuine Mercedes, you can be absolutely assured about the quality and newness of the car. Genuine warranty for 3 years from the date of first registration. Contact directly to know the price of Mercedes_Benz",Mercedes-Benz,GLC200,2022.0,Mercedes Benz GLC 200 4Matic 2022,2 Billion 19 Million,https://bonbanh.com/xe-mercedes_benz-glc-200-4matic-2022-4682639,2.019
4415,4415,4685347,Domestic assembly,Used car,Crossover,14,Black,Black,5,5,Petrol,1.6,Automatic,FWD - Front-wheel drive,8.1,"Hai Binh Auto Salon Sells Peugeot 3008 2021 model 2022 with high-class and beautiful design beyond the segment with new word - Standard version - equipped with many safety features: â€¢ 6 airbags â€¢ Brake support ABS, EBD â€¢ ESP electronic balance â€¢ 180-degree reversing camera with 2-sided simulation â€¢ Cruise control & speed limiter â€¢ ISOFIX child seat hooks for the rear seats â€¢ Tire pressure warning - Support for title change and loan repayment Contribute via bank up to 75% of car value with low interest rate ...â€”â€”â€”â€”â€”â€”â€”â€”â€”â€”â€” Ì‰ Ì€ Hoan Lao - Bo Trach - Quang Binh",Peugeot,3008,2021.0,Peugeot 3008 AT 2021,950 Million,https://bonbanh.com/xe-peugeot-3008-at-2021-4685347,0.95
4501,4501,4690842,Domestic assembly,Used car,Crossover,9,Yellow,Colorful,5,8,Petrol,2.0,Manual,RFD - Rear-wheel drive,13.2," The family needs to sell a genuine 2009 Innova G car, the car is equipped with 2 airbags, ABS brakes, (The car commits not to use a taxi or service), the car is equipped with a camera screen, new shell, the car is owned by the owner. Notarized name of purchase and sale during the day. Do not receive messages. What you pay for.",Toyota,Innova,2009.0,Toyota Innova G 2009 car,268 Million,https://bonbanh.com/xe-toyota-innova-g-2009-4690842,0.268
4554,4554,4693238,Domestic assembly,Used car,Sedan,1,Black,Brown,4,5,Petrol,1.5,Automatic,RFD - Rear-wheel drive,8.7,"Car Center offers Mercdes-Benz E180 V1 2022 for sale - New unregistered car, not yet on the road. - Hand-held documents just need to pay tax and press the sign. Bank installment support is available. Extremely reasonable price at the right time Present.",Mercedes-Benz,E180,2022.0,Mercedes Benz E class E180 2022,1 Billion 850 Million,https://bonbanh.com/xe-mercedes_benz-e_class-e180-2022-4693238,1.85
4785,4785,4706318,Imported,Used car,Sedan,99,Black,Cream,4,5,Petrol,3.0,Automatic,AWD - 4-wheel drive (AWD),3.7,"Mercedes S450 4Matic imported from Thailand, runs 99 km (as beautiful as new) - Mec S450 4Matic 2022 in Black with Cream interior - Completely imported from Thailand - Manufactured and Registered 2022 - Only runs 99 km (as beautiful as new) new, not a single scratch) - Company name issues high invoices - vehicle commitment: No collision - No flooding - No mileage - No engine errors *** Why should you buy a used Mercedes S450 4Matic from the genuine dealer? ?- Up to 400 million cheaper than a new car of the same model and year of manufacture.- After-sales service like a new car.- Cars are sold by genuine dealers of Mercedes-Benz Vietnam: Quality commitment car- Genuine used car has been inspected through 110 points of Mercedes-Benz standards.>> Call Binh Mercedes now to own this unique 2022 Mercedes S450 4Matic!",Mercedes-Benz,S450,2022.0,Mercedes Benz S class S450 4Matic 2022,5 Billion 39 Million,https://bonbanh.com/xe-mercedes_benz-s_class-s450-4matic-2022-4706318,5.039
4830,4830,4710293,Domestic assembly,Used car,Sedan,13,Black,Grey,4,5,Petrol,2.4,Automatic,FWD - Front-wheel drive,9.2," I'm selling a Cam Ri car, 1 owner in good condition. Please come to lot 50, Nguyen Tat street, Vinh city. The car has no crashes or water leaks. It's just original.",Toyota,Camry,2010.0,Toyota Camry 2.4G 2010,395 Million,https://bonbanh.com/xe-toyota-camry-2.4g-2010-4710293,0.395
4856,4856,4711682,Domestic assembly,Used car,Sedan,50,Black,Black,4,5,Petrol,1.5,Automatic,RFD - Rear-wheel drive,8.7,[Genuine surfer] E180 V1 2022 rolls 38 km new - Manufactured: 2022- Registration: 2022- Genuine warranty until 2025 - Vehicle is in the company's name with VAT invoice Price: (including sea travel costs SG ) Save registration - registration up to nearly 300 million compared to new cars. â€”â€”â€”â€”â€”â€”â€”â€”â€”â€”â€”â€”Mercedes Benz Haxaco SCs Nhat Thinh : Add : 333 Dien Bien Phu Ward 15 Binh Thanh District,Mercedes-Benz,E180,2022.0,Mercedes Benz E class E180 2022, 2 billion,https://bonbanh.com/xe-mercedes_benz-e_class-e180-2022-4711682,0.0
4896,4896,4714373,Domestic assembly,Used car,Sedan,14,White,Black,4,5,Petrol,2.0,Automatic,RFD - Rear-wheel drive,8.7,"Just arrived MercedÃ© Benz E200 V1 version with full options such as 360 camera, Burmester speakers, blind spot warning. More than the V0.E200 Exclusive 2022 version, it uses a 2.0 engine with 197 horsepower, rear-wheel drive, and a 5-star safety system. The car has only traveled 14 km, 99.99% new, like new, with nearly 3 years of warranty. year, body insurance, commitment to not crash, flood, scratches.... HCM license plate, clear legality, bank loan support, save more than 300 million VND if buying a new car.Call Hotline now for hot deals, beautiful cars, bargain prices.",Mercedes-Benz,E200,2022.0,Mercedes Benz E class E200 Exclusive 2022,2 Billion 342 Million,https://bonbanh.com/xe-mercedes_benz-e_class-e200-exclusive-2022-4714373,2.342
4991,4991,4719019,Domestic assembly,Used car,Crossover,28,Black,Black,5,5,Petrol,1.2,Automatic,FWD - Front-wheel drive,9.5,"Hai Binh Auto Salon Sells Super Product Peugeot 2008 Active 1.2AT tubo. Production 2021 . Private a new owner. - Equipment: + Leather-wrapped sports steering wheel, integrated function buttons + Electric adjustable driver's seat + 1-zone automatic air conditioning + 7-inch screen entertainment system, connecting Apple Carplay and Android Auto + System 4-speaker audio (Active) - 6 speakers (GT Line) + Electric trunk + Driving mode selection: Standard/Sport/Semi-automatic + Safety system: ABS/EBD brakes, electronic balance system - Support for title transfer and installment loans through banks up to 65% of car value with low interest rates ...â€”â€”â€”â€”â€”â€”â€”â€”â€”â€”â€” Ì‰ Ì€ Hoan Lao - Bo Trach - Quang Binh",Peugeot,2008,2021.0,Peugeot 2008 Active 1.2 AT 2021,730 Million,https://bonbanh.com/xe-peugeot-2008-active-1.2-at-2021-4719019,0.73
5006,5006,4720347,Domestic assembly,Used car,SUV,1,White,Black,5,7,Petrol,2.4,Automatic,FWD - Front-wheel drive,11.0,"VIETNAM OTO - 15 Nguyen Van Cu ! Selling Hyundai Santafe 2.4L SX 2014, full version: Sunroof, start/stop starter, 8-way electric seats, touch screen DVD, new odo 68,000km. Very new. Hanoi Beach. Jack up the original tire with the car. * We invite you to view the car and test drive:* No. 15 Nguyen Van Cu - Long Bien - Hanoi",Hyundai,Santa_Fe,2014.0,Hyundai SantaFe 2.4L 2014,629 Million,https://bonbanh.com/xe-hyundai-santafe-2.4l-2014-4720347,0.629
5221,5221,4729542,Domestic assembly,Used car,Sedan,1,White,Black,4,5,Petrol,2.0,Automatic,RFD - Rear-wheel drive,7.8,"Brand new C300 black and white 2020 for sale, bank loan support 80% of car value, anyone interested please call",Mercedes-Benz,C300,2020.0,Mercedes Benz C class C300 AMG 2020,Billion 530 Million,https://bonbanh.com/xe-mercedes_benz-c_class-c300-amg-2020-4729542,0.53
5244,5244,4730659,Imported,Used car,SUV,8,Black,Cream,5,5,Petrol,3.0,Automatic,AWD - 4-wheel drive (AWD),14.0,"New AUTO LATCH available for sale immediately:MERC GLE400 SX 2016 Cream black. SEA TP 30F-096.04. ODO: 8 km-Equipment: Adaptive suspension system Electric power assisted Direct-Steer steering system with power assist and variable steering gear ratio according to speed helps provide optimal driving feel, supports comfortable steering and precision DIRECT SELECT electric control gear lever behind the steering wheel DIRECT SELECT semi-automatic gear shift lever behind the steering wheel DYNAMIC SELECT control cluster with 5 operating modes: ""Comfort"", ""Sport"", ""Slippery"", ""Individual"" and â€œOffroadâ€ACE connects with customers and sells. Thanks! The price is very flexible as long as the car can be drifted.",Mercedes-Benz,GLE400,2016.0,Mercedes Benz GLE Class GLE 400 4Matic Exclusive 2016,2 Billion 95 Million,https://bonbanh.com/xe-mercedes_benz-gle_class-gle-400-4matic-exclusive-2016-4730659,2.095
5337,5337,4734757,Domestic assembly,Used car,Sedan,30,White,Black,4,5,Petrol,1.5,Automatic,RFD - Rear-wheel drive,4.4, Genuine open sale of vehicles registered with unused criteria like a new car details.,Mercedes-Benz,C200,2022.0,Mercedes Benz C class C200 Avantgarde 2022,1 Billion 669 Million,https://bonbanh.com/xe-mercedes_benz-c_class-c200-avantgarde-2022-4734757,1.669
